loss,optimizer,lr,hidden,reg,params,val_acc,final_val_loss,final_train_loss
softmax,adam,0.001,128,0.0001,302216,0.842,0.5439416343511244,0.028591866231402946
softmax,adam,0.001,128,0.001,302216,0.856,0.6282322352213348,0.14582882279885123
softmax,adam,0.001,128,0.01,302216,0.838,0.8377819538028263,0.34858736202110474
softmax,adam,0.001,256,0.0001,604424,0.83,0.5970369860714665,0.038660081668592014
softmax,adam,0.001,256,0.001,604424,0.854,0.7468272746593688,0.21781446103083973
softmax,adam,0.001,256,0.01,604424,0.834,0.9091874547475673,0.48870803210863156
softmax,adam,0.001,512,0.0001,1208840,0.846,0.5889053642348355,0.06616990773383422
softmax,adam,0.001,512,0.001,1208840,0.848,0.8467569272269669,0.34900629741248046
softmax,adam,0.001,512,0.01,1208840,0.83,0.9043261469301187,0.7023378744851052
softmax,adam,0.005,128,0.0001,302216,0.822,0.8782510115185657,0.06000135372364468
softmax,adam,0.005,128,0.001,302216,0.788,1.29584535325617,0.294408386662055
softmax,adam,0.005,128,0.01,302216,0.808,0.9046277278628669,0.5003058146951449
softmax,adam,0.005,256,0.0001,604424,0.768,2.2541099098838915,1.516929790823137
softmax,adam,0.005,256,0.001,604424,0.75,2.0706957570153204,1.1293560953868007
softmax,adam,0.005,256,0.01,604424,0.766,1.2542171357617675,1.2865102458553965
softmax,adam,0.005,512,0.0001,1208840,0.79,2.5394362037621057,0.29189119855097184
softmax,adam,0.005,512,0.001,1208840,0.794,2.010487398321405,0.8520576056889673
softmax,adam,0.005,512,0.01,1208840,0.794,1.0968324690087243,1.81739697221139
softmax,adam,0.01,128,0.0001,302216,0.766,2.3245051407048694,6.062653825877349
softmax,adam,0.01,128,0.001,302216,0.758,2.2654883333799516,0.7733801414728643
softmax,adam,0.01,128,0.01,302216,0.734,1.1757412272918177,0.526632951789849
softmax,adam,0.01,256,0.0001,604424,0.762,3.832616918907617,2.0971815276327135
softmax,adam,0.01,256,0.001,604424,0.782,2.7076910244726102,1.688043137084636
softmax,adam,0.01,256,0.01,604424,0.722,1.55409611732301,2.5067293228027374
softmax,adam,0.01,512,0.0001,1208840,0.772,5.493795073562104,1.6383332812622133
softmax,adam,0.01,512,0.001,1208840,0.788,5.561641303049376,3.224068631675913
softmax,adam,0.01,512,0.01,1208840,0.744,1.4367711383398392,2.3735993964308637
softmax,sgd,0.001,128,0.0001,302216,0.608,1.0422410329060232,0.8595449188940074
softmax,sgd,0.001,128,0.001,302216,0.608,1.1647407381139407,0.9821790051542421
softmax,sgd,0.001,128,0.01,302216,0.608,2.3782601952065447,2.1969855821990767
softmax,sgd,0.001,256,0.0001,604424,0.63,1.0366545725545535,0.7425499298540645
softmax,sgd,0.001,256,0.001,604424,0.63,1.2743952655233544,0.9804708986101515
softmax,sgd,0.001,256,0.01,604424,0.63,3.629341764069065,3.3366278191356677
softmax,sgd,0.001,512,0.0001,1208840,0.66,0.983420807722877,1.530446888297032
softmax,sgd,0.001,512,0.001,1208840,0.66,1.4514193085650995,1.9983039125684667
softmax,sgd,0.001,512,0.01,1208840,0.66,6.087155378256956,6.632469102397816
softmax,sgd,0.005,128,0.0001,302216,0.746,0.6997427968956321,0.3894285678719334
softmax,sgd,0.005,128,0.001,302216,0.746,0.8223406604292736,0.5125065282892842
softmax,sgd,0.005,128,0.01,302216,0.746,1.9920030717321329,1.6866857908756163
softmax,sgd,0.005,256,0.0001,604424,0.756,0.6887460957030588,0.4275174566645404
softmax,sgd,0.005,256,0.001,604424,0.756,0.9264065323669588,0.6670293234284564
softmax,sgd,0.005,256,0.01,604424,0.756,3.1912656892923987,2.9376403228706964
softmax,sgd,0.005,512,0.0001,1208840,0.752,0.6777786934885959,1.0300410339161274
softmax,sgd,0.005,512,0.001,1208840,0.752,1.1446073747178607,1.4965700587154538
softmax,sgd,0.005,512,0.01,1208840,0.754,5.596412631119238,5.951142175358335
softmax,sgd,0.01,128,0.0001,302216,0.784,0.6094561812114112,0.25907836353324487
softmax,sgd,0.01,128,0.001,302216,0.784,0.7319538605280583,0.3826085579024926
softmax,sgd,0.01,128,0.01,302216,0.784,1.8502396587906642,1.5113191676365985
softmax,sgd,0.01,256,0.0001,604424,0.784,0.6236400931158324,0.26832697001161854
softmax,sgd,0.01,256,0.001,604424,0.782,0.8604544898091315,0.5085070371547845
softmax,sgd,0.01,256,0.01,604424,0.778,3.0199381280513005,2.680711992916988
softmax,sgd,0.01,512,0.0001,1208840,0.806,0.6021687118505386,0.7281947517001048
softmax,sgd,0.01,512,0.001,1208840,0.802,1.0675061520793363,1.1967028316294157
